access_date,user_name,app_path
2023-10-27 10:19:52,ariaecd,/apps/kardia/modules/base/partner_window.app
2023-10-27 10:20:22,ariaecd,/apps/kardia/modules/base/partner_window.app
2023-10-27 10:20:23,ariaecd,/apps/kardia/modules/base/partner_window.app
2023-10-27 10:22:45,ariaecd,/apps/kardia/modules/base/staffmaint.app
2020-08-03 10:19:14,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 10:19:15,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 10:19:32,cwotg,/apps/kardia/modules/rcpt/de_batches.app
2020-08-03 10:19:33,cwotg,/apps/kardia/modules/rcpt/de_batches.app
2020-08-03 10:19:43,cwotg,/apps/kardia/modules/rcpt/gift_import.app
2020-08-03 10:20:01,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 10:20:50,cwotg,/apps/kardia/modules/crm/index.app
2020-08-03 10:20:51,cwotg,/apps/kardia/modules/crm/index.app
2020-08-03 13:11:14,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 13:12:23,cwotg,/apps/kardia/modules/crm/index.app
2020-08-03 13:12:24,cwotg,/apps/kardia/modules/crm/index.app
2020-08-03 14:35:24,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 14:35:25,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 14:35:29,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-03 14:35:35,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-03 14:35:36,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-03 14:35:48,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 14:36:42,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
2020-08-03 14:46:06,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 14:46:07,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-03 14:46:14,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
2020-08-04 14:33:12,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-04 14:33:13,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-04 14:33:15,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-04 14:33:29,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
2020-08-04 14:33:30,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
2020-08-07 13:39:03,cwotg,/apps/kardia/modules/crm/index.app
2020-08-07 14:48:16,cwotg,/apps/kardia/modules/rcpt/cr_batches.app
2020-08-07 14:48:24,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-07 14:48:25,cwotg,/apps/kardia/modules/rcpt/gift_history.app
2020-08-07 14:48:40,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
2020-08-07 14:48:41,cwotg,/apps/kardia/modules/rcpt/gift_entry.app
